url_path,views_total,views_unique
/Yudaotor/lyrimuse,865,494
/Yudaotor/lyrimuse/blob/main/README.zh-CN.md,115,86
/Yudaotor/lyrimuse/issues,84,21
/Yudaotor/lyrimuse/releases/tag/v1.6.0,70,54
/Yudaotor/lyrimuse/releases,69,48
/Yudaotor/lyrimuse/stargazers,69,1
/Yudaotor/lyrimuse/releases/tag/v1.7.0,62,47
/Yudaotor/lyrimuse/graphs/traffic,48,1
/Yudaotor/lyrimuse/pulse,47,1
/Yudaotor/lyrimuse/discussions,19,4
